repo,path,stars
microsoft/LightGBM,python-package/pyproject.toml,15475
abetlen/llama-cpp-python,pyproject.toml,3371
AcademySoftwareFoundation/MaterialX,pyproject.toml,1562
f3d-app/f3d,pyproject.toml,1559
PRBonn/kiss-icp,python/pyproject.toml,1038
scikit-hep/awkward,awkward-cpp/pyproject.toml,738
scikit-hep/awkward,header-only/examples/pybind11/pyproject.toml,738
dmlc/treelite,tests/cython/pyproject.toml,686
gromacs/gromacs,python_packaging/gmxapi/pyproject.toml,585
LuisaGroup/LuisaCompute,pyproject.toml,499
elalish/manifold,pyproject.toml,390
aewallin/opencamlib,pyproject.toml,334
scikit-hep/iminuit,pyproject.toml,251
spglib/spglib,pyproject.toml,231
NVIDIA/cuda-quantum,pyproject.toml,223
thomasantony/llamacpp-python,pyproject.toml,192
project-gemmi/gemmi,pyproject.toml,164
0vercl0k/udmp-parser,src/python/pyproject.toml,158
zerothi/sisl,pyproject.toml,150
fikisipi/elkai,pyproject.toml,143
scientific-python/cookie,{{cookiecutter.project_name}}/pyproject.toml,143
mrzv/dionysus,bindings/python/pybind11/pyproject.toml,130
ufz/ogs,pyproject.toml,110
arbor-sim/arbor,pyproject.toml,97
PRBonn/MapMOS,pyproject.toml,94
benbovy/spherely,pyproject.toml,93
cda-tum/mqt-ddsim,pyproject.toml,92
petrikvladimir/pyphysx,pyproject.toml,81
abetlen/ggml-python,pyproject.toml,71
cda-tum/mqt-qmap,pyproject.toml,71
cda-tum/mqt-qcec,pyproject.toml,68
wjakob/nanobind_example,pyproject.toml,64
pybind/scikit_build_example,pyproject.toml,62
dfm/python-fsps,pyproject.toml,56
microsoft/ark,pyproject.toml,52
FEniCS/basix,pyproject.toml,51
aestream/aestream,pyproject.toml,46
alugowski/fast_matrix_market,python/pyproject.toml,41
namreeb/namigator,pyproject.toml,30
douglasdavis/pygram11,pyproject.toml,28
lorenzo-rovigatti/oxDNA,oxpy/pybind11/pyproject.toml,27
fastscape-lem/fastscapelib,pyproject.toml,27
mhm-ufz/mHM,pyproject.toml,26
cda-tum/mqt-core,pyproject.toml,23
clEsperanto/pyclesperanto,pyproject.toml,20
JeanElsner/panda-py,pyproject.toml,20
HITS-AIN/PINK,pyproject.toml,20
ssciwr/pybind11-numpy-example,pyproject.toml,18
jameslamb/pydistcheck,tests/data/baseballmetrics/pyproject.toml,16
nasa/upsp-processing,pyproject.toml,14
henryiii/se-for-sci,content/week12/04-example/pyproject.toml,13
hugsy/bochscpu-python,pyproject.toml,12
drjdlarson/gncpy,pyproject.toml,11
spatial-model-editor/spatial-model-editor,pyproject.toml,10
ghex-org/GHEX,bindings/python/pyproject.toml,9
datasig-ac-uk/RoughPy,pyproject.toml,9
graphcore-research/tessellate-ipu,pyproject.toml,9
osl-incubator/scicookie,src/scicookie/{{cookiecutter.project_slug}}/build-system/scikit-build-core-pyproject.toml,8
SideChannelMarvels/BlueGalaxyEnergy,pyproject.toml,8
kratsg/pylibmagic,pyproject.toml,7
lipracer/cuda-rt-hook,pyproject.toml,6
anigmetov/oineus,bindings/python/pybind11/pyproject.toml,6
moritz-h/satisfactory-3d-map,pyproject.toml,5
dtcc-platform/dtcc-builder,pyproject.toml,5
njzjz/openbabel-wheel,pyproject.toml,5
mrzv/diode,ext/pybind11/pyproject.toml,4
MohammadRaziei/liburlparser,pyproject.toml,4
AutonoLab/pteranodon,pyproject.toml,4
luhsoccer/luhsoccer_baguette,pyproject.toml,4
nismod/snail,pyproject.toml,4
DynamicaLab/hypergraph-bayesian-reconstruction,_pygrit/pyproject.toml,3
tmontaigu/laszip-python,pyproject.toml,3
henson-insitu/henson,ext/pybind11/pyproject.toml,3
viljarjf/QM_sim,pyproject.toml,3
golmschenk/eesunhong,pyproject.toml,3
usgs-coupled/phreeqcrm,pyproject.toml,3
Harvard-Neutrino/LeptonInjector,pyproject.toml,3
JeanElsner/panda_model,pyproject.toml,3
Ouranosinc/raven-hydro,pyproject.toml,3
pyresidfp/pyresidfp,pyproject.toml,3
BaseGraph/BaseGraph,pyproject.toml,2
Freed-Wu/autotools-language-server,pyproject.toml,2
carlislewishard/swiftest,pyproject.toml,2
elerac/strand_integration,cpp_ext/pyproject.toml,2
g4edge/pyg4ometry,pyproject.toml,2
Freed-Wu/astyle-wheel,pyproject.toml,2
Freed-Wu/bitbake-language-server,pyproject.toml,2
ckoraka/tac-hep-coding-jam,pyproject.toml,2
GWMCwing/NEAT-CPP-PY,pyproject.toml,2
ThalesGroup/xsmp-sdk,pyproject.toml,2
ssciwr/hammingdist,pyproject.toml,2
westonpace/quiver,pyproject.toml,1
hcho3/scikit_build_example,pyproject.toml,1
usnistgov/masskit,masskit_ext/pyproject.toml,1
mr-eyes/sourmash_plugin_extract_errors,pyproject.toml,1
kasperg3/polygon-coverage-planning,pyproject.toml,1
Blosc/blosc2_openhtj2k,pyproject.toml,1
eduardohenriquearnold/oaktree,pyproject.toml,1
usgs-coupled/vs2drt,src/PhreeqcRM/pyproject.toml,1
usgs-coupled/vs2di,vs2drtJni/src/PhreeqcRM/pyproject.toml,1
gis-ops/py-osrm,pyproject.toml,1
woywoy123/AnalysisG,torch-extensions/pyproject.toml,1
ilias-karimalis/cautious-eureka,pyproject.toml,0
tumBAIS/RoutingBlocks,pyproject.toml,0
rapidsai/pynvjitlink,pyproject.toml,0
golmschenk/cibuildwheel_fetchcontent_permission_error_example,pyproject.toml,0
davidmaaghul/FRAL,pyproject.toml,0
hcho3/treelite-ng,pyproject.toml,0
symbench/diffmesh,pyproject.toml,0
dwastberg/dtcc-tudelft-city3D,pyproject.toml,0
matthewfeickert/scikit-build-core-example,subdir/pyproject.toml,0
cathaypacific8747/am4bot,src/am4utils/pyproject.toml,0
oberbichler/protosaurus,pyproject.toml,0
BaseGraph/BaseGraphExtensionExample,pyproject.toml,0
project-gemmi/gemmi_program_wheel,pyproject.toml,0
ilia-kats/numpy-onlinestats,pyproject.toml,0
grigorypas/incremental_solver,python/pyproject.toml,0
samuelpmish/LBVH,pyproject.toml,0
ulrikpedersen/automatic-carnival,pyproject.toml,0
STZRoland/skbuild-template,pyproject.toml,0
lucasjinreal/llamacpp_py,pyproject.toml,0
ManasviGoyal/kaitai_awkward_runtime,pyproject.toml,0
Krande/adacpp,pyproject.toml,0
golmschenk/scikit_build_core_minimal_shared_library_example,pyproject.toml,0
hyliu1989/pybind11_class_test,pyproject.toml,0
agoose77/pymstar,pyproject.toml,0
edwenger/emodlib,pyproject.toml,0
Blosc/blosc2_plugin_example,pyproject.toml,0
njzjz/lammps-wheel,pyproject.toml,0
usgs-coupled/phast3,src/phast/PhreeqcRM/pyproject.toml,0
VOLTTRON/pybind11,pyproject.toml,0
ShangqunYu/hopper2d,machinelearning/pybind11/pyproject.toml,0
taosdata/taos-udf,python/pyproject.toml,0
jpauwels/py3dti,pyproject.toml,0
pangtao22/scikit_build_example,pyproject.toml,0
