Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/scikit-hep/awkward,https://sourcegraph.com/github.com/scikit-hep/awkward,awkward-cpp/pyproject.toml,https://sourcegraph.com/github.com/scikit-hep/awkward/-/blob/awkward-cpp/pyproject.toml,"[awkward-cpp/pyproject.toml, [[12, 26]]]","[2, [[5, 22]]]"
content,github.com/LuisaGroup/LuisaCompute,https://sourcegraph.com/github.com/LuisaGroup/LuisaCompute,pyproject.toml,https://sourcegraph.com/github.com/LuisaGroup/LuisaCompute/-/blob/pyproject.toml,"[pyproject.toml, [[0, 14]]]","[4, [[5, 22]]]"
content,github.com/aewallin/opencamlib,https://sourcegraph.com/github.com/aewallin/opencamlib,pyproject.toml,https://sourcegraph.com/github.com/aewallin/opencamlib/-/blob/pyproject.toml,"[pyproject.toml, [[0, 14]]]","[34, [[13, 30]]]"
content,github.com/spglib/spglib,https://sourcegraph.com/github.com/spglib/spglib,pyproject.toml,https://sourcegraph.com/github.com/spglib/spglib/-/blob/pyproject.toml,"[pyproject.toml, [[0, 14]]]","[1, [[13, 30]]]; [11, [[49, 66]]]"
content,github.com/gromacs/gromacs,https://sourcegraph.com/github.com/gromacs/gromacs,python_packaging/gmxapi/pyproject.toml,https://sourcegraph.com/github.com/gromacs/gromacs/-/blob/python_packaging/gmxapi/pyproject.toml,"[python_packaging/gmxapi/pyproject.toml, [[24, 38]]]","[1, [[40, 57]]]; [33, [[15, 32]]]"
content,github.com/scikit-hep/awkward,https://sourcegraph.com/github.com/scikit-hep/awkward,header-only/examples/pybind11/pyproject.toml,https://sourcegraph.com/github.com/scikit-hep/awkward/-/blob/header-only/examples/pybind11/pyproject.toml,"[header-only/examples/pybind11/pyproject.toml, [[30, 44]]]","[1, [[13, 30]]]"
content,github.com/thomasantony/llamacpp-python,https://sourcegraph.com/github.com/thomasantony/llamacpp-python,pyproject.toml,https://sourcegraph.com/github.com/thomasantony/llamacpp-python/-/blob/pyproject.toml,"[pyproject.toml, [[0, 14]]]","[1, [[13, 30]]]"
content,github.com/SideChannelMarvels/BlueGalaxyEnergy,https://sourcegraph.com/github.com/SideChannelMarvels/BlueGalaxyEnergy,pyproject.toml,https://sourcegraph.com/github.com/SideChannelMarvels/BlueGalaxyEnergy/-/blob/pyproject.toml,"[pyproject.toml, [[0, 14]]]","[1, [[37, 54]]]; [2, [[13, 30]]]"
content,github.com/fikisipi/elkai,https://sourcegraph.com/github.com/fikisipi/elkai,pyproject.toml,https://sourcegraph.com/github.com/fikisipi/elkai/-/blob/pyproject.toml,"[pyproject.toml, [[0, 14]]]","[1, [[13, 30]]]"
content,github.com/zerothi/sisl,https://sourcegraph.com/github.com/zerothi/sisl,pyproject.toml,https://sourcegraph.com/github.com/zerothi/sisl/-/blob/pyproject.toml,"[pyproject.toml, [[0, 14]]]","[13, [[5, 22]]]"
content,github.com/JeanElsner/panda_model,https://sourcegraph.com/github.com/JeanElsner/panda_model,pyproject.toml,https://sourcegraph.com/github.com/JeanElsner/panda_model/-/blob/pyproject.toml,"[pyproject.toml, [[0, 14]]]","[1, [[13, 30]]]"
content,github.com/douglasdavis/pygram11,https://sourcegraph.com/github.com/douglasdavis/pygram11,pyproject.toml,https://sourcegraph.com/github.com/douglasdavis/pygram11/-/blob/pyproject.toml,"[pyproject.toml, [[0, 14]]]","[11, [[13, 30]]]"
content,github.com/ssciwr/pybind11-numpy-example,https://sourcegraph.com/github.com/ssciwr/pybind11-numpy-example,pyproject.toml,https://sourcegraph.com/github.com/ssciwr/pybind11-numpy-example/-/blob/pyproject.toml,"[pyproject.toml, [[0, 14]]]","[1, [[13, 30]]]"
content,github.com/pybind/scikit_build_example,https://sourcegraph.com/github.com/pybind/scikit_build_example,pyproject.toml,https://sourcegraph.com/github.com/pybind/scikit_build_example/-/blob/pyproject.toml,"[pyproject.toml, [[0, 14]]]","[1, [[13, 30]]]"
content,github.com/scikit-build/scikit-build-sample-projects,https://sourcegraph.com/github.com/scikit-build/scikit-build-sample-projects,projects/pi-fortran/pyproject.toml,https://sourcegraph.com/github.com/scikit-build/scikit-build-sample-projects/-/blob/projects/pi-fortran/pyproject.toml,"[projects/pi-fortran/pyproject.toml, [[20, 34]]]","[2, [[5, 22]]]"
content,github.com/scikit-build/scikit-build-sample-projects,https://sourcegraph.com/github.com/scikit-build/scikit-build-sample-projects,projects/core-c-hello/pyproject.toml,https://sourcegraph.com/github.com/scikit-build/scikit-build-sample-projects/-/blob/projects/core-c-hello/pyproject.toml,"[projects/core-c-hello/pyproject.toml, [[22, 36]]]","[1, [[13, 30]]]"
content,github.com/scikit-build/scikit-build-sample-projects,https://sourcegraph.com/github.com/scikit-build/scikit-build-sample-projects,projects/core-pybind11-hello/pyproject.toml,https://sourcegraph.com/github.com/scikit-build/scikit-build-sample-projects/-/blob/projects/core-pybind11-hello/pyproject.toml,"[projects/core-pybind11-hello/pyproject.toml, [[29, 43]]]","[1, [[13, 30]]]"
content,github.com/scikit-build/scikit-build-core,https://sourcegraph.com/github.com/scikit-build/scikit-build-core,pyproject.toml,https://sourcegraph.com/github.com/scikit-build/scikit-build-core/-/blob/pyproject.toml,"[pyproject.toml, [[0, 14]]]","[84, [[44, 61]]]; [85, [[44, 61]]]"
content,github.com/scikit-build/scikit-build-core,https://sourcegraph.com/github.com/scikit-build/scikit-build-core,docs/examples/getting_started/c/pyproject.toml,https://sourcegraph.com/github.com/scikit-build/scikit-build-core/-/blob/docs/examples/getting_started/c/pyproject.toml,"[docs/examples/getting_started/c/pyproject.toml, [[32, 46]]]","[1, [[13, 30]]]"
content,github.com/scikit-build/scikit-build-core,https://sourcegraph.com/github.com/scikit-build/scikit-build-core,docs/examples/getting_started/swig/pyproject.toml,https://sourcegraph.com/github.com/scikit-build/scikit-build-core/-/blob/docs/examples/getting_started/swig/pyproject.toml,"[docs/examples/getting_started/swig/pyproject.toml, [[35, 49]]]","[1, [[13, 30]]]"
